Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,8413.799805,8755.599609,8018.600098,8481.099609,8481.099609,1401281200
2000-02-01,8496.299805,9557.599609,8438.400391,9129.000000,9129.000000,907177500
2000-03-01,9317.900391,10176.700195,9191.900391,9462.400391,9462.400391,1364783800
2000-04-01,9520.700195,9640.099609,8421.599609,9347.599609,9347.599609,1839722300
2000-05-01,9399.099609,9620.500000,8807.400391,9252.000000,9252.000000,2137767400
2000-06-01,9397.900391,10310.099609,9397.900391,10195.500000,10195.500000,1916390000
2000-07-01,10195.500000,10983.299805,10153.099609,10406.299805,10406.299805,1496248000
2000-08-01,10456.700195,11325.400391,10181.500000,11247.900391,11247.900391,1777334700
2000-09-01,11375.400391,11402.000000,10203.000000,10377.900391,10377.900391,1752648800
2000-10-01,10491.700195,10701.500000,9185.599609,9639.599609,9639.599609,2147719000
2000-11-01,9561.299805,9786.200195,8593.500000,8819.900391,8819.900391,1865611100
2000-12-01,8896.799805,9661.500000,8561.900391,8933.700195,8933.700195,1999559800
2001-01-01,8961.799805,9425.500000,8474.299805,9321.900391,9321.900391,2150227000
2001-02-01,9276.400391,9367.799805,7913.799805,8078.700195,8078.700195,2073520300
2001-03-01,8033.100098,8315.400391,7438.500000,7608.000000,7608.000000,2363551000
2001-04-01,7633.299805,8147.700195,7382.000000,7946.600098,7946.600098,2109652800
2001-05-01,7915.600098,8409.099609,7864.500000,8161.899902,8161.899902,2534824200
2001-06-01,8180.100098,8334.799805,7519.500000,7736.399902,7736.399902,2347854900
2001-07-01,7736.399902,7765.600098,7531.600098,7689.700195,7689.700195,1597000400
2001-08-01,7703.000000,7777.100098,7397.399902,7399.200195,7399.200195,1681793200
2001-09-01,7420.299805,7513.600098,6301.500000,6838.600098,6838.600098,1959064300
2001-10-01,6801.899902,7077.299805,6766.399902,6885.700195,6885.700195,2277342500
2001-11-01,6904.600098,7496.000000,6864.799805,7425.700195,7425.700195,2368759700
2001-12-01,7366.000000,7729.299805,7346.600098,7688.399902,7688.399902,1989709200
2002-01-01,7679.600098,7875.700195,7468.899902,7648.500000,7648.500000,2086937300
2002-02-01,7641.100098,7707.399902,7402.700195,7637.500000,7637.500000,2091999100
2002-03-01,7672.899902,7992.700195,7662.299805,7851.500000,7851.500000,2337427200
2002-04-01,7854.000000,7932.100098,7569.500000,7663.399902,7663.399902,2398755700
2002-05-01,7646.600098,7746.500000,7539.200195,7656.100098,7656.100098,2274294900
2002-06-01,7631.399902,7668.399902,7003.700195,7145.600098,7145.600098,2862082800
