"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4622238","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4521085","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4532198","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4605001","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4731826","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4544026","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4533627","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4563636","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4479653","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4595162","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4358044","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4470699","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4403527","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4447782","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4445107","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Chemical manufacturing [325]","Dollars","81","thousands","3","v800461","1.1.2.135","4079408","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2747497","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2736039","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2702655","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2747710","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2787196","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2708981","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2674796","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2744209","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2809193","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2651749","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2698816","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2525205","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2587479","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2676112","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","2353339","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Plastics and rubber products manufacturing [326]","Dollars","81","thousands","3","v800462","1.1.2.159","1623475","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2680560","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2491089","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2475581","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2451188","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2448580","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2388974","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2374478","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2374375","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2395520","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2340515","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2336198","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2421895","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2440501","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2487870","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","2400298","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Wood product manufacturing [321]","Dollars","81","thousands","3","v800464","1.1.2.85","1944381","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1335394","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1255675","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1280408","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1290254","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1279929","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1260538","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1254032","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1267044","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1265015","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1241615","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1251522","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1264237","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1371480","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1347570","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","1191259","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Non-metallic mineral product manufacturing [327]","Dollars","81","thousands","3","v800465","1.1.2.175","931577","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4174361","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4126577","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4438686","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4176206","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4078654","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4482949","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4154139","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4107799","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4182643","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4183657","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","3733337","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","4078181","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","3912951","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","3919310","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","3615926","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Primary metal manufacturing [331]","Dollars","81","thousands","3","v800466","1.1.2.190","3022032","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3395577","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3429493","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3430561","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3455134","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3582863","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3522608","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3415597","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3563230","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3546393","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3330035","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3481115","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3391636","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3484472","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3706718","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","3356759","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Fabricated metal product manufacturing [332]","Dollars","81","thousands","3","v800467","1.1.2.211","2480363","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3483502","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3571947","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3711579","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3559815","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3672862","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3379230","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3482860","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3437518","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3582204","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3501187","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3330260","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3332752","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3472596","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3253344","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","3063969","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Machinery manufacturing [333]","Dollars","81","thousands","3","v800468","1.1.2.232","2562085","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1303181","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1324265","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1392684","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1325287","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1309303","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1284965","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1201662","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1225355","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1278224","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1256579","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1221428","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1220089","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1138369","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1171158","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","1165935","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Computer and electronic product manufacturing [334]","Dollars","81","thousands","3","v800469","1.1.2.253","945235","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","981595","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","1004811","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","936414","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","943152","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","962809","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","936788","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","900647","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","936742","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","866305","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","917107","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","902042","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","906062","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","841516","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","824801","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","773080","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Electrical equipment, appliance and component manufacturing [335]","Dollars","81","thousands","3","v800470","1.1.2.268","673323","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Transportation equipment manufacturing [336]","Dollars","81","thousands","3","v800471","1.1.2.285","10722882","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Transportation equipment manufacturing [336]","Dollars","81","thousands","3","v800471","1.1.2.285","10596112","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Transportation equipment manufacturing [336]","Dollars","81","thousands","3","v800471","1.1.2.285","11148072","","","","0"
