"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","40.98","","","","2"
"2019-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","39.19","","","","2"
"2019-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","38.98","","","","2"
"2019-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","38.84","","","","2"
"2019-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","38.89","","","","2"
"2019-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","39.49","","","","2"
"2019-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","39.23","","","","2"
"2019-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","39.57","","","","2"
"2019-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","39.56","","","","2"
"2020-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","40.90","","","","2"
"2020-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","40.88","","","","2"
"2020-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","41.57","","","","2"
"2020-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","42.23","","","","2"
"2020-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Both sexes","15 years and over","Current dollars","75","units","0","v2132584","1.2.1.4.1.1","40.90","","","","2"
"2019-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","41.76","","","","2"
"2019-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","41.72","","","","2"
"2019-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","41.29","","","","2"
"2019-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","41.78","","","","2"
"2019-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","41.07","","","","2"
"2019-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","42.55","","","","2"
"2019-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","43.00","","","","2"
"2019-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","43.46","","","","2"
"2019-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","45.25","","","","2"
"2019-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Both sexes","15 years and over","Current dollars","75","units","0","v2132589","1.2.1.5.1.1","43.97","","","","2"
